,Time (s),Voltage (V),Current (A)
0,18:32:41.603568,12.0029,2.10081e-05
1,18:32:42.710747,12.0029,1.46531e-05
2,18:32:43.818653,12.0029,1.61139e-05
3,18:32:44.932629,12.0029,2.89591e-05
4,18:32:46.036099,12.0029,3.05338e-05
5,18:32:47.143542,12.0029,1.6928e-05
6,18:32:48.258432,12.0028,1.75682e-05
7,18:32:49.368809,12.0029,6.49824e-06
8,18:32:50.497039,12.0029,2.42248e-05
9,18:32:51.608909,12.0029,2.92183e-05
10,18:32:52.714824,12.0029,1.42115e-06
11,18:32:58.457932,12.0029,6.03321e-05
12,18:32:59.564608,12.0029,2.02295e-05
13,18:33:00.661045,12.0029,3.62838e-05
14,18:33:01.757281,12.0029,7.56919e-06
15,18:33:02.862554,12.0029,2.53278e-06
16,18:33:03.973823,12.0029,4.23977e-06
17,18:33:05.078387,12.0029,1.3045e-05
18,18:33:06.179204,12.0029,2.32957e-06
19,18:33:07.285516,12.0029,9.75876e-06
20,18:33:08.394438,12.0029,1.44951e-05
21,18:33:09.499239,12.0029,1.46074e-05
22,18:33:10.605755,12.0029,1.49272e-05
